Instrument,File,Time,Chord,Channel
Violin,Violin-9.wav,0,B:min,Channel 2
Violin,Violin-9.wav,1,D:maj,Channel 2
Violin,Violin-9.wav,2,A:min,Channel 2
Violin,Violin-9.wav,3,A:min,Channel 2
Violin,Violin-9.wav,4,A:maj,Channel 2
Violin,Violin-9.wav,5,B:maj,Channel 2
Violin,Violin-9.wav,6,B:maj,Channel 2
Violin,Violin-9.wav,7,B:maj,Channel 2
Violin,Violin-9.wav,8,C:maj,Channel 2
Violin,Violin-9.wav,9,A:maj,Channel 2
Violin,Violin-9.wav,10,D:min,Channel 2
Violin,Violin-10.wav,0,G:maj,Channel 1
Violin,Violin-10.wav,1,G:maj,Channel 1
Violin,Violin-10.wav,2,A#:maj,Channel 1
Violin,Violin-10.wav,3,C:min,Channel 1
Violin,Violin-10.wav,4,C:min,Channel 1
Violin,Violin-10.wav,5,C:min,Channel 1
Violin,Violin-10.wav,6,C:min,Channel 1
Violin,Violin-10.wav,7,C:min,Channel 1
Violin,Violin-10.wav,8,C:min,Channel 1
Violin,Violin-10.wav,9,C:min,Channel 1
Violin,Violin-10.wav,10,F:maj,Channel 1
Violin,Violin-10.wav,0,G:maj,Channel 2
Violin,Violin-10.wav,1,G:maj,Channel 2
Violin,Violin-10.wav,2,C:min,Channel 2
Violin,Violin-10.wav,3,C:min,Channel 2
Violin,Violin-10.wav,4,C:min,Channel 2
Violin,Violin-10.wav,5,C:min,Channel 2
Violin,Violin-10.wav,6,C:min,Channel 2
Violin,Violin-10.wav,7,C:min,Channel 2
Violin,Violin-10.wav,8,C:min,Channel 2
Violin,Violin-10.wav,9,C:min,Channel 2
Violin,Violin-10.wav,10,F:maj,Channel 2
Violin,Violin-11.wav,0,C:min,Channel 1
Violin,Violin-11.wav,1,C:min,Channel 1
Violin,Violin-11.wav,2,C:min,Channel 1
Violin,Violin-11.wav,3,C:min,Channel 1
Violin,Violin-11.wav,4,C:min,Channel 1
Violin,Violin-11.wav,5,C:min,Channel 1
Violin,Violin-11.wav,6,C:min,Channel 1
Violin,Violin-11.wav,7,G:min,Channel 1
Violin,Violin-11.wav,8,G:min,Channel 1
Violin,Violin-11.wav,9,G:min,Channel 1
Violin,Violin-11.wav,10,G:min,Channel 1
Violin,Violin-11.wav,0,C:min,Channel 2
Violin,Violin-11.wav,1,C:min,Channel 2
Violin,Violin-11.wav,2,C:min,Channel 2
Violin,Violin-11.wav,3,C:min,Channel 2
Violin,Violin-11.wav,4,C:min,Channel 2
Violin,Violin-11.wav,5,C:min,Channel 2
Violin,Violin-11.wav,6,C:min,Channel 2
Violin,Violin-11.wav,7,G:min,Channel 2
Violin,Violin-11.wav,8,G:min,Channel 2
Violin,Violin-11.wav,9,G:min,Channel 2
Violin,Violin-11.wav,10,G:min,Channel 2
Double Bass,Double Bass-1.wav,0,D#:maj,Channel 1
Double Bass,Double Bass-1.wav,1,D#:maj,Channel 1
Double Bass,Double Bass-1.wav,2,A:min,Channel 1
Double Bass,Double Bass-1.wav,3,A:min,Channel 1
Double Bass,Double Bass-1.wav,4,A:min,Channel 1
Double Bass,Double Bass-1.wav,5,E:maj,Channel 1
Double Bass,Double Bass-1.wav,6,C:maj,Channel 1
